game,mapsize,metascore,mainhours,fullhours,propextra,yearreleased,yearbracket,logmapsize,logmetascore,logmainhours,logfullhours,logpropextra
The Elder Scrolls V: Skyrim,15,94,34,232,0.8534483,2011,2010,2.70805,4.543295,3.526361,5.446737,-0.1584703
The Getaway,6.2,72,12.5,17,0.2647059,2003,2000,1.824549,4.276666,2.525729,2.833213,-1.329136
The Witcher 3,84,92,51,172,0.7034883,2014,2010,4.430817,4.521789,3.931826,5.147494,-0.351704
Tom Clancy's Ghost Recon Wildlands,170,72,26,80,0.675,2017,2015,5.135798,4.276666,3.258096,4.382027,-0.3930426
True Crime: New York City,25,58,7,29,0.7586207,2005,2005,3.218876,4.060443,1.94591,3.367296,-0.2762534
True Crime: Streets of LA,240,73,9,15,0.4,2003,2000,5.480639,4.29046,2.197225,2.70805,-0.9162907
Watch Dogs,9.2,78,19.5,60.5,0.677686,2014,2010,2.219203,4.356709,2.970414,4.102643,-0.3890713
Watch Dogs 2,22,79,19,46,0.5869565,2016,2015,3.091043,4.369448,2.944439,3.828641,-0.5328045
Xenoblade Chronicles,31,89,68.5,161,0.5745342,2010,2010,3.433987,4.488636,4.226834,5.081404,-0.5541957
Xenoblade Chronicles 2,154,83,63.5,254,0.75,2017,2015,5.036952,4.41884,4.15104,5.537334,-0.2876821
Xenoblade Chronicles X,154,84,68.5,274,0.75,2015,2015,5.036952,4.430817,4.226834,5.613128,-0.2876821
