DATE,EXPINF5YR
2002-07-01,2.3196110666666667
2002-10-01,2.0988602666666667
2003-01-01,2.0819394000000000
2003-04-01,1.9718039000000000
2003-07-01,2.0833281333333333
2003-10-01,2.1322811000000000
2004-01-01,2.1180027000000000
2004-04-01,2.2851187333333333
2004-07-01,2.3633985333333333
2004-10-01,2.2267237000000000
2005-01-01,2.3175575333333333
2005-04-01,2.3568782666666667
2005-07-01,2.3524698333333333
2005-10-01,2.5978141333333333
2006-01-01,2.4281721666666667
2006-04-01,2.6543746000000000
2006-07-01,2.6288341666666667
2006-10-01,2.3549992000000000
2007-01-01,2.5283315666666667
2007-04-01,2.5846223000000000
2007-07-01,2.5021026000000000
2007-10-01,2.3080169666666667
2008-01-01,2.0049190666666667
2008-04-01,2.1101746000000000
2008-07-01,2.2944061000000000
2008-10-01,1.6933151000000000
2009-01-01,1.3537895000000000
2009-04-01,1.6713821666666667
2009-07-01,1.9485738666666667
2009-10-01,1.8162014000000000
2010-01-01,1.8925537666666667
2010-04-01,1.8173754666666667
2010-07-01,1.4694070666666667
2010-10-01,1.4417368666666667
2011-01-01,1.9008471000000000
2011-04-01,1.9283114333333333
2011-07-01,1.6305228333333333
2011-10-01,1.4773325000000000
2012-01-01,1.4293943666666667
2012-04-01,1.3882324000000000
2012-07-01,1.3688815666666667
2012-10-01,1.4146974333333333
2013-01-01,1.32009313333333333333
2013-04-01,1.32606653333333333333
2013-07-01,1.6287829333333333
2013-10-01,1.6155836000000000
2014-01-01,1.6387037000000000
2014-04-01,1.7248629000000000
2014-07-01,1.7894770666666667
2014-10-01,1.7247745666666667
2015-01-01,1.4294697666666667
2015-04-01,1.6578537000000000
2015-07-01,1.7360240933333333
2015-10-01,1.6270959266666667
2016-01-01,1.5537681166666667
2016-04-01,1.5964721466666667
2016-07-01,1.5585075966666667
2016-10-01,1.7126118566666667
2017-01-01,1.8076649633333333
2017-04-01,1.6669783666666667
2017-07-01,1.7374161833333333
2017-10-01,1.8924542800000000
2018-01-01,1.9107509766666667
2018-04-01,1.9419638266666667
2018-07-01,2.0699647666666667
2018-10-01,2.0767977533333333
2019-01-01,1.7749824400000000
2019-04-01,1.6664441200000000
2019-07-01,1.5413894733333333
2019-10-01,1.5802954300000000
2020-01-01,1.4251409600000000
2020-04-01,0.92006180666666666667
2020-07-01,1.23788843000000000000
2020-10-01,1.24778761333333333333
2021-01-01,1.30740064000000000000
2021-04-01,1.4968619933333333
2021-07-01,1.5786271966666667
2021-10-01,1.6614325000000000
2022-01-01,1.8703569233333333
2022-04-01,2.4229982066666667
2022-07-01,2.3360609466666667
