DATE,MCUMFN
2002-07-01,73.1507333333333333
2002-10-01,73.0459666666666667
2003-01-01,73.4206666666666667
2003-04-01,73.0525000000000000
2003-07-01,73.6353666666666667
2003-10-01,74.5380666666666667
2004-01-01,75.1321666666666667
2004-04-01,75.7961000000000000
2004-07-01,76.5130000000000000
2004-10-01,77.5232666666666667
2005-01-01,78.4702666666666667
2005-04-01,78.5278666666666667
2005-07-01,77.9447000000000000
2005-10-01,78.6924333333333333
2006-01-01,79.0558000000000000
2006-04-01,78.8447333333333333
2006-07-01,78.7527333333333333
2006-10-01,78.5650666666666667
2007-01-01,78.8762333333333333
2007-04-01,79.3611666666666667
2007-07-01,78.9292666666666667
2007-10-01,78.7786000000000000
2008-01-01,78.0196666666666667
2008-04-01,76.3623333333333333
2008-07-01,73.7092333333333333
2008-10-01,69.4537333333333333
2009-01-01,64.9586666666666667
2009-04-01,63.5486333333333333
2009-07-01,65.2774333333333333
2009-10-01,66.6925000000000000
2010-01-01,68.2532333333333333
2010-04-01,70.4211000000000000
2010-07-01,71.5546333333333333
2010-10-01,72.1484000000000000
2011-01-01,72.9814000000000000
2011-04-01,73.0601666666666667
2011-07-01,73.8066666666666667
2011-10-01,74.3477000000000000
2012-01-01,75.1185333333333333
2012-04-01,75.0053666666666667
2012-07-01,74.5939333333333333
2012-10-01,74.5915333333333333
2013-01-01,74.9696000000000000
2013-04-01,74.8945666666666667
2013-07-01,74.8181666666666667
2013-10-01,75.1837000000000000
2014-01-01,75.0517000000000000
2014-04-01,76.0810000000000000
2014-07-01,76.6381333333333333
2014-10-01,76.9751000000000000
2015-01-01,76.5416666666666667
2015-04-01,76.5609333333333333
2015-07-01,76.7682666666666667
2015-10-01,76.1951333333333333
2016-01-01,76.0031333333333333
2016-04-01,75.6108666666666667
2016-07-01,75.5110000000000000
2016-10-01,75.5288000000000000
2017-01-01,75.6613000000000000
2017-04-01,76.4858666666666667
2017-07-01,76.3611666666666667
2017-10-01,77.3646000000000000
2018-01-01,77.6710666666666667
2018-04-01,78.3960333333333333
2018-07-01,78.8019333333333333
2018-10-01,78.4027000000000000
2019-01-01,77.5433333333333333
2019-04-01,77.0556333333333333
2019-07-01,76.9596333333333333
2019-10-01,76.5384666666666667
2020-01-01,75.6875333333333333
2020-04-01,65.8280333333333333
2020-07-01,73.3745666666666667
2020-10-01,75.0444000000000000
2021-01-01,75.7080333333333333
2021-04-01,76.8961666666666667
2021-07-01,77.6437000000000000
2021-10-01,78.6656333333333333
2022-01-01,79.1976000000000000
2022-04-01,79.6376000000000000
2022-07-01,79.5015666666666667
