gamecode,crackedinwindow,year,meanprice,opencritic,metacritic,reviews
seaofsolitude,1,2019,19.99,70,64,154
shadowoftombraider,1,2018,54.388,80,77,292
sherlockholmesdevilsdaughter,0,2016,39.697144,65,71,46
shiningresonancerefrain,1,2018,48.100555,69,68,112
shinmegamitenseiiiinocturnehdremaster,0,2021,46.835125,78,79,53
snipereliteiv,0,2017,54.59,78,78,184
sniperghostwarrioriii,1,2017,47.351112,53,59,136
sonicforces,1,2017,40.034283,56,56,144
sonicmania,1,2017,18.595488,87,84,57
soulcaliburvi,1,2018,56.726925,84,80,230
southparkfracturedbutwhole,1,2017,56.168182,82,81,252
starwarsbattlefront,0,2015,54.665001,71,72,172
starwarsbattlefrontii,0,2017,61.013332,68,76,232
starwarsjedifallenorder,1,2019,61.108452,83,81,252
starwarssquadrons,0,2020,39.549911,79,79,200
steep,0,2016,53.82143,71,72,59
strangebrigade,0,2018,47.109051,74,68,142
swordartonlinefatalbullet,1,2018,50.542999,67,61,88
syberiaiii,1,2017,36.026493,51,51,56
talesofberseria,1,2017,46.721249,80,80,108
tekkenvii,1,2017,45.137547,82,82,210
titanfallii,0,2016,55.608749,87,86,210
tomclancysghostreconbreakpoint,0,2019,59.990002,57,58,218
tomclancysghostreconwildlands,0,2017,53.284279,72,69,208
tonyhawksproskateriplusii,0,2020,39.990002,89,88,266
totalwarsagathronesofbritannia,0,2018,37.568748,76,75,64
totalwarthreekingdoms,1,2019,55.422222,85,85,119
totalwarwarhammer,0,2016,55.308956,86,86,96
trialsofmana,1,2020,49.412025,75,78,140
trialsrising,0,2019,24.615,80,83,182
twopointhospital,1,2018,29.277592,84,83,90
unravel,0,2016,19.99,76,81,140
unraveltwo,0,2018,19.99,80,76,92
valkyriachroniclesiv,0,2018,57.261112,84,83,76
warhammeriv0000dawnofwariii,1,2017,52.185455,77,77,86
watchdogsii,1,2016,54.00111,82,75,80
watchdogslegion,0,2020,59.990002,74,72,308
wolfensteinyoungblood,1,2019,28.49472,67,69,266
wrcvi,0,2016,36.490002,68,66,24
wrcvii,1,2017,35.990002,70,70,38
yakuza0,0,2018,18.67,86,86,30
yakuzalikeadragon,0,2020,59.990002,86,83,208
yesterdayorigins,1,2016,27.690796,69,74,14
zombiearmyivdeadwar,0,2020,49.990002,75,74,164
zoneofendersiindrunner,0,2018,28.322262,71,71,42
