hwavg,mt1,mt2,grade,s
83.28961806,70,85.7,B-,1
94.06820087,81,87.7,B-,1
95.62770657,74,69.7,B-,1
94.95402475,56.5,56.7,B-,1
80.57148784,84,70,B-,1
93.07623917,90,86.7,B-,1
86.31314727,71,93,B-,1
79.18692457,67,78.7,B-,1
96.23287426,75,75.7,B-,1
91.01757194,60,62,B-,1
90.21418244,74,68,B-,1
85.70233026,83,63,B-,1
97.59719384,69,72.7,B-,1
94.49780073,83,85,B-,1
93.36019491,65,90,B-,1
93.65929671,68,83,B-,1
93.14599915,88,64,B-,1
93.9687502,62,70,B-,1
98.58318911,72,82.7,B-,1
88.66775051,79,89,B-,1
56.59405244,85,73,B+,1
96.65580642,87,80,B+,1
91.50551487,73,82.7,B+,1
91.93692396,88,90,B+,1
85.01188545,84,83,B+,1
97.08908103,60.5,93,B+,1
88.37177448,92,72,B+,1
94.01583588,84,80,B+,1
96.21937998,73,85.7,B+,1
91.46656251,90,78.7,B+,1
97.72626251,74,88,B+,1
91.21367655,70,90,B+,1
95.43112541,90,80.7,B+,1
83.44518261,82,95,B+,1
93.505948,67,92.7,B+,1
95.66683715,74,81.7,B+,1
97.22158119,77,98.7,B+,1
96.04242453,80,92,B+,1
93.93883323,88,80,B+,1
87.44050303,88,80,B+,1
93.31311972,80,90,B+,1
94.70679285,76,88,B+,1
98.69135859,77,87.7,B+,1
90.60686244,96,81.7,B+,1
96.93591566,79,82.7,B+,1
86.06659424,95,75.7,B+,1
90.27489149,74,88.7,B+,1
98.03030327,69,55,C,1
95.32751319,71,50,C,1
92.22383152,64,58,C,1
86.41319519,69,63,C,1
94.93812701,55,67.7,C,1
87.53793499,80,60,C,1
93.75460444,87,56.7,C,1
77.0309203,75,61.7,C,1
82.13069251,70,71.7,C,1
92.59134289,72,55.7,C,1
87.92953356,69,77.7,C,1
75.6980018,75,85,C,1
88.65428463,76,65,C,1
85.17998448,65,53.7,C,1
67.35843624,67,74.7,C,1
92.39601347,55,76.7,C,1
91.24032954,55,72.7,C,1
95.90750384,75,55.7,C,1
89.04732446,63.5,50,C,1
99.29741877,77,55.7,C,1
87.13796192,77,62.7,C,1
86.37892168,73,50,C,1
85.67203778,85,35.7,C,1
87.3893321,79,73,C,1
93.96407507,66,59.7,C,1
96.13026038,73,62,C,1
84.96843107,66.5,55,C,1
90.00175794,76,70.7,C,1
88.6889883,74,58,C,1
97.01458988,67,68.7,C,1
89.56163814,70,53.7,C,1
89.36262592,73,67.7,C,1
84.8528296,73,78.7,C,1
95.17630337,81,60.7,C,1
93.79851501,40.5,70.7,C,1
85.4189978,56,52.7,C,1
91.36549606,63.5,67.7,C,1
82.82241432,42,90,C,1
91.76699842,84,52.7,C,1
91.49769051,76,60,C,1
74.71037356,71,77,C,1
96.40492214,65.5,65.7,C,1
93.43326895,68,58,C,1
86.12153333,63,67,C,1
94.768804,61,60,C,1
94.33978861,68,61.7,C,1
93.12611919,70,42,C,1
94.57286164,64,84.7,C,1
95.74799915,79,70,C,1
78.92622784,75,80.7,C,1
94.12297097,59,56,C,1
81.07417008,90,41,C,1
85.90909327,56,59.7,C-,1
80.74238406,59.5,67.7,C-,1
77.37819475,59,72.7,C-,1
90.46344356,53,64.7,C-,1
94.86961152,68,60.7,C-,1
83.39781182,70,72,C-,1
88.94925412,58,46.7,C-,1
85.89307273,73,59.7,C-,1
91.05014788,75,61,C-,1
96.69223986,60,70,C-,1
94.10142697,76,42,C-,1
94.65953715,73,57,C-,1
92.64085463,73,53,C-,1
51.78707776,68,60,C-,1
85.60503966,52,56.7,C-,1
80.94380224,64,66.7,C-,1
90.56641679,72,77,C-,1
89.94462115,78,66.7,C-,1
78.60219057,71,51,C-,1
67.14079691,74,71,C-,1
93.14343568,54,52.7,C-,1
88.18662552,52,72.7,C-,1
80.1724542,60,67.7,C-,1
80.829212,74,58,C-,1
93.89746861,59,60,C-,1
95.79158287,58,66,C-,1
74.11528257,88,40.7,C-,1
83.54799671,93,46,C-,1
81.62079295,53,67,C-,1
93.54362695,76,49,C-,1
94.38211735,64,60,C-,1
91.05109481,56,62,C-,1
94.325734,46,51.7,C-,1
83.7608623,69,51,C-,1
96.06060509,45,57,C-,1
86.48885646,60.5,67.7,C-,1
85.49523927,73,40,C-,1
67.80841842,75,56,C-,1
96.33277212,81,44.7,C-,1
95.7512823,51.5,58.7,C-,1
91.54187285,48,61.7,C-,1
90.99672915,91,70.7,C-,1
77.59735446,60,60,C-,1
82.58486541,67.5,53,C-,1
52.33330881,58,43.7,C-,1
91.19814234,70,67.7,C-,1
90.17638259,75,44.7,C-,1
79.28924178,70,53,C-,1
90.43132871,57,77.7,C-,1
86.10523739,80,65.7,C-,1
90.33156107,78,62.7,C-,1
88.53062242,54,72.7,C-,1
91.6966518,69.5,62.7,C-,1
80.4661536,73,46,C-,1
90.99048111,64,80.7,C-,1
92.46610507,63,50,C-,1
92.07759051,61,66,C-,1
88.79044152,48,53,C-,1
82.48881392,78,57,C-,1
91.78563459,67,44.7,C-,1
92.95956937,71,47.7,C-,1
75.49660634,68,46.7,C-,1
92.36964139,82,58,C-,1
83.76466853,62,75,C-,1
75.72065055,73,57.7,C-,1
85.01131931,82,44.7,C-,1
84.26552818,58,65.7,C-,1
92.61946545,76,40.7,C-,1
86.18895321,91,62,C-,1
94.49809226,63,51.7,C-,1
92.36056362,75,39,C-,1
94.71957703,74,65,C-,1
84.52787149,63,53,C-,1
82.09890184,68,56.7,C-,1
86.67878675,80,56.7,C-,1
97.10190834,77,38.7,C-,1
82.64197562,57.5,55,C-,1
78.80876473,56,62,C-,1
91.32768358,74,76.7,C+,1
96.23995533,77,53.7,C+,1
75.21136248,65,78,C+,1
52.01003705,61,82.7,C+,1
95.06646057,67,79,C+,1
95.76667756,90,45.7,C+,1
84.26349485,65,52.7,C+,1
86.93623051,71,59.7,C+,1
88.13159634,58.5,77.7,C+,1
90.99535024,70,75,C+,1
81.53728491,70,76.7,C+,1
91.89986063,84,27,C+,1
93.44625673,88.5,66,C+,1
89.01707495,63,82,C+,1
96.49309786,77,60,C+,1
88.9566938,66,67.7,C+,1
95.63721897,70,92.7,C+,1
84.7920636,74,63,C+,1
96.90942834,76,46,C+,1
81.48584194,72,56.7,C+,1
89.10979679,71,59,C+,1
95.069986,64,71,C+,1
80.62944299,77,76.7,C+,1
93.91526366,62,82,C+,1
95.42862737,89,50.7,C+,1
88.89245881,79,55,C+,1
88.51616174,74,62,C+,1
90.29826327,72,60.7,C+,1
93.07199729,76,60.7,C+,1
90.06803164,83,65.7,C+,1
81.61343653,62.5,68,C+,1
82.63269119,63,72.7,C+,1
95.02799398,83,54.7,C+,1
95.15185089,69,76,C+,1
92.76170333,77,77.7,C+,1
65.6020601,65,69.7,C+,1
95.48454394,86,50.7,C+,1
81.67329568,47,86.7,C+,1
77.40686137,62,65,C+,1
96.79102125,63,85,C+,1
96.69899109,74,54.7,C+,1
84.53459968,32,60,D,0
62.41078911,55,44.7,D,0
86.94330826,57.5,38,D,0
87.75858539,41.5,54,D,0
77.9113939,74,48.7,D,0
83.69699329,72,30,D,0
76.65596667,55,52.7,D,0
93.7810141,54,53.7,D,0
86.89243198,58,62.7,D,0
91.61281059,62.5,68,D,0
85.32213356,73,46,D,0
77.0027736,74,46,D,0
82.5037036,61,41.7,D,0
78.94769095,57.5,51.7,D,0
81.96994879,42,61.7,D,0
88.71390616,62.5,58.7,D,0
69.84227461,61,63,D,0
74.55752792,43,60.7,D,0
76.5741142,46,67,D,0
85.53747784,54,55,D,0
87.68135273,61,71,D,0
91.33317352,51,74.7,D,0
88.81702283,49.5,53,D,0
85.06751457,58,68.7,D,0
64.03276909,59,65,D,0
84.36592081,60,57,D,0
83.02267109,65,68,D,0
82.74797735,76,47.7,D,0
96.49872004,53,44.7,D-,0
81.0767039,46,32,D-,0
88.69038685,73,31.7,D-,0
90.99397661,60.5,27,D-,0
80.42448366,45,35.7,D-,0
91.84280881,70,57,D-,0
79.58246689,59,42,D-,0
92.05821683,65,40.7,D-,0
82.71787206,74,46.7,D-,0
75.54864493,59,42,D-,0
68.32884412,57,52,D-,0
78.17590727,75,36,D-,0
78.29939099,48,51.7,D-,0
66.41493572,61,47,D-,0
70.72408164,71,39,D-,0
86.32266051,38,62.7,D-,0
86.7038158,48,58.7,D-,0
84.2322762,52,38.7,D-,0
44.50916073,53,49,D-,0
78.40413671,56,43,D-,0
95.76439026,64,41,D-,0
84.27859552,45,45.7,D-,0
77.30599566,56,39.7,D-,0
75.9203597,66,42,D-,0
81.81512188,34,53.7,D-,0
88.49626424,61,34.7,D-,0
83.93809489,37,56.7,D-,0
83.41010543,38,66.7,D-,0
79.55154719,67,39.7,D+,0
85.06559253,68,53,D+,0
78.49703347,53,58.7,D+,0
92.87177339,47,60,D+,0
93.75225313,55.5,42,D+,0
89.77473941,64.5,45.7,D+,0
89.95520341,54,62,D+,0
95.52829859,50,26.7,D+,0
95.02716576,33,77.7,D+,0
87.26923428,63,61,D+,0
92.53435394,83,54.7,D+,0
87.50391713,82,50,D+,0
88.56899933,58,56.7,D+,0
90.98593378,34,62.7,D+,0
71.6503561,79,40,D+,0
75.66700303,70,36,D+,0
63.1787261,44,42,F,0
38.73625141,55.5,42.7,F,0
59.43738962,45,44,F,0
85.03709313,39,36.7,F,0
67.38181812,35,60,F,0
83.39756271,39,50.7,F,0
66.15673457,36,37.7,F,0
53.4727699,44,52,F,0
57.39282782,52,53.7,F,0
64.73549337,40,43,F,0
84.66704133,54.5,47.7,F,0
77.52366261,58,41.7,F,0
69.98204224,47,30,F,0
53.0192717,37.5,56,F,0
90.25678927,55,49.7,F,0
76.07810982,45,40,F,0
71.80953139,39,39.7,F,0
82.89045509,42,49,F,0
65.81318588,32,26.7,F,0
77.15097246,42,79,F,0
87.28656384,56.5,34,F,0
64.59053527,32,47,F,0
31.82263453,59,50,F,0
35.4378784,69.5,63,F,0
77.67208073,59,56,F,0
88.91447717,24,50.7,F,0
96.43486705,55,56,F,0
