DATE,UNRATE
2002-07-01,5.7333333333333333
2002-10-01,5.8666666666666667
2003-01-01,5.8666666666666667
2003-04-01,6.1333333333333333
2003-07-01,6.1333333333333333
2003-10-01,5.8333333333333333
2004-01-01,5.7000000000000000
2004-04-01,5.6000000000000000
2004-07-01,5.4333333333333333
2004-10-01,5.4333333333333333
2005-01-01,5.3000000000000000
2005-04-01,5.1000000000000000
2005-07-01,4.9666666666666667
2005-10-01,4.9666666666666667
2006-01-01,4.7333333333333333
2006-04-01,4.6333333333333333
2006-07-01,4.6333333333333333
2006-10-01,4.4333333333333333
2007-01-01,4.5000000000000000
2007-04-01,4.5000000000000000
2007-07-01,4.6666666666666667
2007-10-01,4.8000000000000000
2008-01-01,5.0000000000000000
2008-04-01,5.3333333333333333
2008-07-01,6.0000000000000000
2008-10-01,6.8666666666666667
2009-01-01,8.2666666666666667
2009-04-01,9.3000000000000000
2009-07-01,9.6333333333333333
2009-10-01,9.9333333333333333
2010-01-01,9.8333333333333333
2010-04-01,9.6333333333333333
2010-07-01,9.4666666666666667
2010-10-01,9.5000000000000000
2011-01-01,9.0333333333333333
2011-04-01,9.0666666666666667
2011-07-01,9.0000000000000000
2011-10-01,8.6333333333333333
2012-01-01,8.2666666666666667
2012-04-01,8.2000000000000000
2012-07-01,8.0333333333333333
2012-10-01,7.8000000000000000
2013-01-01,7.7333333333333333
2013-04-01,7.5333333333333333
2013-07-01,7.2333333333333333
2013-10-01,6.9333333333333333
2014-01-01,6.6666666666666667
2014-04-01,6.2000000000000000
2014-07-01,6.0666666666666667
2014-10-01,5.7000000000000000
2015-01-01,5.5333333333333333
2015-04-01,5.4333333333333333
2015-07-01,5.1000000000000000
2015-10-01,5.0333333333333333
2016-01-01,4.9000000000000000
2016-04-01,4.9333333333333333
2016-07-01,4.9000000000000000
2016-10-01,4.7666666666666667
2017-01-01,4.5666666666666667
2017-04-01,4.3666666666666667
2017-07-01,4.3333333333333333
2017-10-01,4.1666666666666667
2018-01-01,4.0333333333333333
2018-04-01,3.9333333333333333
2018-07-01,3.7666666666666667
2018-10-01,3.8333333333333333
2019-01-01,3.8666666666666667
2019-04-01,3.6000000000000000
2019-07-01,3.6333333333333333
2019-10-01,3.6000000000000000
2020-01-01,3.8000000000000000
2020-04-01,12.9666666666666667
2020-07-01,8.8333333333333333
2020-10-01,6.7666666666666667
2021-01-01,6.2000000000000000
2021-04-01,5.9000000000000000
2021-07-01,5.1000000000000000
2021-10-01,4.2333333333333333
2022-01-01,3.8000000000000000
2022-04-01,3.6000000000000000
2022-07-01,3.5666666666666667
